Model,Metric,road,pole,bus,traffic sign,fence,wall,rider,building,car,sky,traffic light,train,sidewalk,terrain,person,bicycle,vegetation,truck,motorcycle
pidnet-s,IoU,98.31,65.14,88.03,79.06,60.59,54.39,64.98,92.71,95.32,94.64,71.48,83.29,85.89,66.56,81.75,77.25,92.35,82.06,62.33
pidnet-s,Acc,99.1,77.51,91.78,87.24,72.4,60.85,79.62,96.49,97.74,97.83,83.57,89.78,92.51,76.35,90.99,89.78,96.56,90.35,71.88
pidnet-m,IoU,98.24,66.33,90.6,80.49,64.71,57.93,67.53,93.1,95.58,94.8,74.17,84.51,85.63,65.35,83.32,78.93,92.68,84.44,65.78
pidnet-m,Acc,99.05,78.67,94.43,88.97,73.95,64.65,80.4,96.8,97.96,97.81,86.0,88.44,92.58,74.51,92.06,90.02,96.64,88.88,76.02
pidnet-l,IoU,98.34,67.26,92.42,82.11,65.64,64.41,68.3,93.4,95.62,94.92,74.32,84.34,86.21,64.88,84.19,79.25,92.76,81.81,66.71
pidnet-l,Acc,99.11,79.49,95.62,89.43,74.64,70.49,81.56,96.86,97.83,98.05,86.41,88.0,93.08,74.24,92.28,90.27,96.63,90.92,78.43
bisenetv2_fcn,IoU,97.96,60.79,74.31,75.12,56.71,50.53,54.46,91.54,94.14,94.45,67.22,61.5,83.39,61.79,78.89,73.83,91.99,66.02,53.72
bisenetv2_fcn,Acc,98.91,72.21,90.03,83.8,66.81,57.8,66.73,96.22,97.11,97.98,79.1,64.92,91.54,70.32,89.55,86.06,96.57,72.01,65.22
segformer_mit-b0,IoU,98.03,62.6,83.88,77.72,56.82,58.76,57.39,92.23,94.33,94.98,69.83,75.66,84.03,64.13,80.72,76.27,92.55,69.36,64.93
segformer_mit-b0,Acc,98.95,72.51,89.76,84.88,66.19,65.28,69.63,96.73,97.59,98.22,81.0,81.34,91.92,73.71,90.19,87.73,96.64,73.78,77.38
segformer_mit-b1,IoU,98.2,65.94,86.71,80.77,57.97,62.56,60.46,92.82,95.24,95.19,72.73,70.92,85.36,65.12,82.36,78.05,92.89,82.16,67.18
segformer_mit-b1,Acc,98.99,76.0,93.25,87.5,65.01,69.22,72.11,96.9,97.84,98.26,83.97,74.82,93.07,73.97,91.68,89.01,96.86,86.51,78.15
segformer_mit-b2,IoU,98.38,68.63,91.33,81.78,62.61,66.17,65.61,93.36,95.63,95.36,74.85,82.32,86.45,63.47,84.16,79.44,93.06,85.97,71.86
segformer_mit-b2,Acc,99.12,78.95,95.45,89.01,70.24,72.39,78.56,96.93,98.01,98.25,85.91,86.36,93.28,71.91,92.25,90.29,97.05,89.19,82.32
ddrnet,IoU,98.27,66.83,90.19,80.87,64.25,55.25,66.98,93.07,95.48,95.24,73.51,83.78,86.07,66.48,83.4,78.28,92.72,81.57,67.63
ddrnet,Acc,98.99,78.62,93.87,88.12,76.01,60.86,81.07,96.81,97.93,98.24,85.62,88.69,93.15,76.42,91.86,90.08,96.63,86.75,79.16
mask2former_r101,IoU,98.17,69.53,90.9,81.05,64.55,58.36,67.15,93.15,95.73,95.29,75.12,82.61,85.02,63.32,84.38,80.07,92.99,87.87,69.96
mask2former_r101,Acc,98.96,79.85,95.36,87.81,75.0,65.37,77.51,97.08,98.04,98.29,85.38,86.53,93.17,74.11,91.64,89.74,96.42,92.02,80.21
mask2former_swin-b-in22k-384x384-pre,IoU,98.53,72.2,92.08,85.01,74.46,66.0,69.81,94.17,96.3,95.74,77.0,85.22,87.9,67.49,85.9,81.88,93.4,90.05,73.81
mask2former_swin-b-in22k-384x384-pre,Acc,99.1,82.45,96.24,90.89,85.28,77.27,81.68,97.17,98.14,98.64,86.51,88.33,94.59,78.19,92.72,90.86,96.63,94.28,83.69
mask2former_swin-l-in22k-384x384-pre,IoU,98.61,72.44,92.71,84.43,68.91,68.96,72.29,94.02,96.23,95.69,77.37,83.86,88.74,67.74,86.58,82.09,93.36,89.94,75.4
mask2former_swin-l-in22k-384x384-pre,Acc,99.25,83.16,96.84,90.58,77.08,77.41,83.59,97.28,98.13,98.69,87.79,88.05,94.64,76.62,93.15,90.77,96.64,92.97,85.95
stdc1,IoU,97.63,55.04,81.19,72.31,52.06,48.11,54.18,90.78,93.1,93.47,61.95,74.01,81.43,59.85,77.03,73.24,91.1,55.47,52.56
stdc1,Acc,98.62,66.53,86.56,81.1,62.62,52.26,68.68,95.8,97.29,97.79,72.93,77.47,91.29,69.36,89.11,84.7,96.37,60.22,59.96
stdc1_in1k-pre,IoU,97.97,58.19,85.8,76.74,56.19,42.36,57.99,91.42,94.33,94.2,67.97,75.56,83.76,62.4,79.18,75.51,91.71,70.97,61.54
stdc1_in1k-pre,Acc,98.98,70.51,90.46,85.21,63.24,46.22,71.13,96.33,97.71,97.7,78.92,79.87,91.47,72.04,90.49,86.66,96.47,73.97,73.12
stdc2_in1k-pre,IoU,98.26,61.0,86.62,77.93,61.04,51.3,62.51,92.23,94.69,94.42,69.7,77.99,85.18,59.28,80.57,76.86,91.87,70.84,64.54
stdc2_in1k-pre,Acc,99.09,72.4,92.09,86.57,69.57,55.6,75.8,96.42,97.72,97.88,81.63,84.29,92.44,70.11,91.24,87.64,96.62,75.08,74.23
